mood,genres,themes,tempo,tempo_2,energy_levels
Peaceful,Rock,Wedding & Romance,low,,Medium
Elegant,Lofi Hip Hop,Wedding & Romance,normal,normal,Medium
Dreamy,Hip Hop,Nature,,,
Epic,Tokyo night pop,Workout & Wellness,,,
Busy & Frantic,Rock,Corporate,,,
Fear,House,Cooking,,,
Funny & Weird,Ambient,Documentary,,,
Glamorous,R&B,Ads & Trailers,,,
Smooth,Ambient,Holiday Season,normal,high,Medium
Laid Back,Beats,Workout & Wellness,high,,Very High
Sad,Orchestra,Motivational & Inspiring,low,,Medium
Happy,Hip Hop,Wedding & Romance,high,,Very High
Dark,Hip Hop,Horror & Thriller,,,
Romantic,Hip Hop,Nature,
Romantic,Ambient,Wedding & Romance,,,
Happy,Ambient,Holiday Season,low,,Medium
Dreamy,Latin,Photography,low,,Medium
Hopeful,Acoustic,Motivational & Inspiring,low,,Medium
Elegant,Lofi Hip Hop,Travel,low,,Medium
Heavy & Ponderous,R&B,Photography,low,,Medium
Running,Rock,Sports & Action,low,,Medium
Fear,Trap,Drama,low,,Medium
Mysterious,Beats,Horror & Thriller,low,,Medium
Smooth,Ambient,Wedding & Romance,low,,Medium
Dark,Rock,Horror & Thriller,low,,Medium
Elegant,Ambient,Nature,low,,Medium
Funny & Weird,R&B,Sports & Action,low,,Medium
Sad,Ambient,Nature,low,,Medium
Sad,Ambient,Photography,low,,Medium
Sad,Ambient,Motivational & Inspiring,low,,Medium
Happy,Latin,Travel,low,,Medium
Happy,Latin,Nature,low,,Medium
Happy,Latin,Holiday Season,low,,Medium
Running,Rock,Thriller,low,,Medium
Euphoric,Jersey Club,Photography,low,,Medium
Euphoric,Ambient,Wedding & Romance,low,,Medium
Euphoric,World,Nature,low,,Medium
Heavy & Ponderous,Lofi Hip Hop,Gaming,low,,Medium
Heavy & Ponderous,Lofi Hip Hop,Workout Wellness,low,,Medium
Hopeful,Latin,Ads & Trailers,low,,Medium
Hopeful,Latin,Documentary,low,,Medium
Peaceful,World,Travel,low,,Medium
Restless,World,Travel,low,,Medium
